parsed_kigo,parsed_haiku
赤い 羽根,ときめき は 老 に も あり て 赤い 羽根
神 の 留守,カクテル の 紫 が 好き 神 の 留守
冬 の 夕 焼,寒 夕 焼 疎林 の 肋 透き て 見 ゆ
マスク,地下街 ゆく 目玉 マスク の 上 に 載せ
蛇 穴 を 出 づ,山 ひとつ 軋ま せ 蛇 が 穴 を 出る
桜,さくら さくら 昔 いじめ し 子 を 妻 に
五月,千 枚 田 は 千 の 竪琴 風 五月
炬燵,炬燵 の 間 鯨 の よう な 父 が いる
冬 鴎,霧 放つ 沖 の 前奏 群 なす 鷗
桃,父母 の 霊 天井 に びっしり 桃 汁 少年院
蛇 穴 を 出 づ,穴 出 でし 蛇 と 共 濡れ 老い けら し
蛇 衣 を 脱ぐ,皮 を 脱ぐ 蛇 です 当意即妙 です
が がん ぼ,が がん ぼ は 窓 擦る 沒落 する の だ な
衣 被,衣 被 我と おぼしき 夜さり の 老
神楽,もう 神 に あら ず 地べた の 神楽 翁
師走,奥 鬼怒 へ 東武 で 逃げる 師走 か な
手毬,毬 唄 の 一 は 上総 の 一ノ宮
春 の 蠅,雲 版 の 裏 へ 廻れ ば 春 の 蠅
紫陽花,不如意 なき 紫陽花 寺 や 滅相 な
運動会,来賓 を 畚 に 乗せ て 運動会
青柳,柳 青め り ウィンドー ショッピング
春 の 月,眼鏡 拭く 春 満月 の 駅 に 降り
夏 帽子,夏 帽子 ひとつ 残り ぬ 戻り 舟
良夜,天窓 に 宇宙船 見え 良夜 なり
熟柿,熟柿 一 顆橋 の 沈む を 見 て おり ぬ
冬 の 日,キラキラ と 冬日 の 海 や おしゃれ し て
月,月 の 出 を 待つ は 御身 を 待つ ごとし
水鶏,ものの怪 の 通り すぎ たり 水鶏 鳴く
山桜 桃 の 実,呼び とめ て 振り返ら せ て ゆすら うめ
水 温む,狂乱 の 狂 の 字 かすれ 水 ぬるむ
三月,三月 が 勾玉 の まま 待っ て い た
蝶,白 蝶 追う いま 月面 の 無 重力
曼珠沙華,かん ぺき に 蕁麻疹 曼珠沙華 の 中
後 の 月,十 三 夜 わたくし に 呼ば れ た よう な
花,この 胸 の 隅 まで 濡れる 花 惜 む
春 惜しむ,惜春 の 雨 に 烟り し 遠 岬
初夏,初夏 の 風 すらり 人生 を 抜け て ゆく
水中花,色 の 無き 炎 と なり ぬ 水中花
凌 霄 の 花,百 年 は 短 かき 世界 のう ぜん 花
神無月,神無月 弟子 の 増え たる 夜 の 点前
蟋蟀,コホロギ の 肩 刺せ 裾 刺せ 一 人 の 茶
夜長,自 服し て 夜長 の 稽古 はじまり ぬ
若水,水 指 は 白磁 初 水 満たし けり
春,茶杓 拭く 袱紗 に 残る 春 の 彩
梅,口ごもる よう な 紅 なり 臥 龍 梅
犬 ふぐり,魔女 消える 径 いっぱい の 犬 ふぐり
海鼠,まないた の 海鼠 どこ から 叩こ う か
薄氷,薄氷 の は たり は たり と 風 越える
石鹸 玉,しゃぼん だま 石鹸 も 息 も 丸裸
遅日,春日 遅々 手 古奈 の 歩幅 計る 橋
薔薇 の 芽,筋書 は 出来 た バラ の 芽 よ 出番
春愁,紙袋 に 詰め た 春愁 一 打 する
春眠,春眠 の 道連れ に する 猫 が 居 ない
雪,背負 籠 から 昔話 が はだら 雪
蕗 味噌,おふくろ の 幸せ の 味 蕗 の 味噌
寒椿,寒椿 光 一つ を 抱い て 咲く
朧月,朧夜 の 絵の具 が ほしい モネ の 庭
ねじ あやめ,ねじ あやめ 落人 の 里 軒 低く
蝌蚪,蝌蚪 の 紐 水 が 抱え し 日 を 跨ぐ
山 笑 ふ,靴下 も 取る 体重 計 山 笑う
炎 昼,炎 昼 の 街 を 引っ張る 市電 か な
秋 の 空,雲 一つ 仕舞い 忘れ て 秋 の 空
名 の 草枯 る,名 草枯 る すべて が 太陽 向き し まま
大寒,大寒 の 家 を まるごと 洗 ひ けり
下 萌,親鸞 の 弟子 に 如 の 字 や 草 萌 ゆる
梅雨,勾玉 の 中 に も 梅雨 の 籠り ゐる
種蒔,ガンジー の 生れ し 日 なり 大根 蒔く
霧,コーヒー は あと で ください 窓 の 霧
寒 の 入,ぬり 箸 の 紅 すき 透る 寒 の 入り
豆 飯,不器用 に 生き て 豆 飯 炊い て いる
葡萄,一 房 の 巨峰 の 重 さ 掌 に とり て
大根 干す,上 を 向く 暮し の 中 に 干 大根
鳳仙花,鳳仙花 かごめ かごめ の 歌 消える
短夜,短夜 や 時差 ぼけ という 魔 が 住める
蓑虫,蓑虫 の 免 震 住宅 よく 眠る
枯蓮,枯 は ち す メトロ が 根っこ つつき けり
立春,髪 切っ て 立春 の 日 の 一 歩 か な
春,音読 の 脳 体操 や 春 の 椅子
花,花 の 下 揃 ひ て 箸 を 割り に けり
武者 人形,この 国 の 未来 を じ つと 鐘 馗様
新緑,新緑 に 磁気 の ある らし 腰 のびる
田植,田植 すみ 健康 さうな 水 匂 ふ
夏 の 蝶,揚羽蝶 荒川 静香 の イナバウアー
畦 塗,畦 を 塗る 原点 は 母 の 背中
青田,青田 風 はるか に プラトニックラブ
緑蔭,緑陰 に 空気 の 抜け た 毬 で いる
八月,百 の 目玉 が 乾く 八月 の 吊革
秋 時雨,秋 時雨 あなた の 腕 は 港 です
春愁,春愁 の 醒める 間際 の 皮膚 呼吸
檸檬,これ って 愛 レモン 齧れ ば 迸る
木蓮,紫 木蓮 気 の いい 女 を 演じ きる
棕櫚 の 花,棕梠 の 花 どっこい 熱く 生き て いる
秋,秋 落暉 水平 線 の その 先 は
毛糸 編む,毛糸 編む 妻 の 世界 と 吾が 世界
春 の 蠅,横 ちや く な 物 売 電話 春 の 蠅
春 の 雪,生酒 に 聞かす 音楽 春 の 雪
春寒,春寒 や 土 の 匂 ひ を 掘 つて を り
衣 被,限り なく 長男 は 損 衣 被
余寒,朝 より 鴉 の 声 の 余寒 か な
草餅,帝釈天 参道 に 買 ふ 草 の 餅
春 浅し,香煙 に ご利益 ね が ふ 浅き 春
春 の 雪,彫刻 の 回廊 長し 春 の 雪
花,花びら を 庭 い つ ぱい に 猫 の ゆく
二 日,立て な ほす 背筋 二 日 の 風 の 中
花 菜 漬,花 菜 漬 いつも 人後 に ゐ て 健在
毛虫,昨日 と は ち が ふ 碧空 毛虫 焼く
新米,新米 の 青 味 挫折 の 色 なら む
報恩 講,御 講 凪 思考 ま づしき 咀嚼 音
菜の花,菜の花 の 硯 工房 見 て 帰る
鳥 帰る,鳥 帰る ローマ字 レシート 渡さ れ て
黒 南風,黒 南風 や 乗りかえ 駅 の 顔見知り
緑,みどり 差す 背中 の 張り し 半 跏像
山茶花,白 山茶花 路地 の 研師 は 子 を 語る
春愁,愁い つつ 春 の 地球 の なか 覗く
薔薇,薔薇 の 闇 われ を 殺し に 我 が 来る
草取,草 拔 くに キュウ と 鳴か れ て しまい けり
露草,露草 の つゆ の 色 こそ 朝 の 夢
冬 の 日,階段 に 腰掛け て いる 冬 の 陽 よ
石鹸 玉,し や ぼん 玉子 の まなざし に 弾け たり
蟬,油 蟬高 階 に 来 て 狼狽 へ ぬ
竜 の 玉,竜 の 玉 宝石 箱 に 混 り を り
霧氷,ち ち は は も 生家 も なく て 霧氷 界
桜,水底 に 水 の 色 なる さくら か な
引鶴,鶴 帰る つう と よ ひよ う の 別れ か な
雪 解,旅 ひとり 雪 解 の 音 の 村 を 過 ぐ
沢瀉,沢瀉 や 門 深く 住む 人 を 知ら ず
秋めく,秋めく や いさ さ 群竹 風 に 鳴り
鶴,凍 鶴 の 三 歩 あゆま ず 鳴き に けり
大寒,大寒 や 力む 走り 根 動悸 する
鳥 雲 に 入る,鳥 雲 に 大 往生 の 舳先 起つ
夏 の 蝶,黒 揚羽 魚板 たたき て 立ち去り ぬ
炎 昼,炎 昼 に 吐き 口 という 無人 駅
朴 落葉,三 戒 の 旅 の 終え たる 朴 落葉
万緑,万緑 や 病め ば 山河 の 遠く なる
蝌蚪,蝌蚪 生 まる 女 に 帰る ところ なし
涼し,涼し さ や 縄文 人 の 耳飾り
一月,一月 の ゼウス の 足 に ある 力
茶 の 花,茶 の 花 や 日暮れ は 膝 に やつ て くる
ぶらんこ,とき に 鞦韆 こき こき と 屈折 す
夏 燕,切っ先 は 風 の 稜線 夏 つば め
枯葉,鳥 に なる 為 に 離れ て ゆく 枯葉
銀杏,銀杏 落つ 村 一 番 の 化石 より
師走,極月 の 眉 月 一つ 星 ひとつ
春 の 昼,マンボウ の 以下 省略 の 春 の 午后
憂国 忌,そこ ここ に メール 打つ 指 三島 の 忌
半夏生,半夏生 狐 が 眉 を ひき はじ む
夜長,長き 夜 や 獏 に くれ たき 片腕
十二月,紅絹裏 の ごとき 花 舗 なり 十二月
春愁,春愁 や 里 の 空白 半 世紀
苜蓿,古里 や 学舎 の 跡 うまごやし
桃 の 花,泣き声 も いやし の 一つ 桃 の 花
落花,見舞 終 ふ 誰 も 口 なし 花吹雪
花見,急が ず に すむ 余生 か な 花見 酒
春 の 雪,約束 の すぐ 破ら れ て 春 の 雪
雹,どこ まで も 夫 を 疑い 氷雨 降る
夕 焼,人生 に 悔 あり 夕 焼 一 人 見 て
林檎,林檎 むい て 幸せ そう な 家族 する
葡萄,憎しみ が 涙 と なり て 黒 ぶどう
春雨,裏庭 は ジュラ紀 の 匂い 春 の 雨
若葉,若葉 風 背中 の あたり が ちょっと 反骨
秋,沖 に 船 南蛮 人 など 見え て 秋
落葉,落葉 鳴る 落葉 鳴る 鬼 泣い て いる
寒椿,夢違え し て より ずっと 寒椿
春風,春風 に 浮かれ 遊べ や 石仏
麦 の 秋,麦秋 や 寅 さん みたい な 恋 を し て
終戦 記念 日,風流 と 少し 距離 置く 敗戦 日
笹 鳴,笹 鳴 や 古り し 温泉 成分 表
猫 の 恋,校長 と 恋 猫 が い て 廃校 す
クリスマス,キリスト も 阿弥陀 も 聖 クリス マス
桜,単線 や 桜 の 駅 で すれ違う
花,御 本尊 阿弥陀 露座 仏 花 あかり
青 麦,麦 青む 北 の 大地 という ところ
良夜,良夜 か な 黙 が 座っ て 師 の 定 座
菜の花,菜花 にがい 虫 食い 始め た 昭和
炎 昼,昭和 生き抜き 影 小さく 炎 昼 ゆく
葱,ネギ 畑 の 昼 月 の 白い 皮膜 の
鮟鱇,本日 発売 鮟鱇 の 解体 新書
梨,やわらかき 朝 の て の ひ ら 梨 を 剥く
残暑,割れ そう な 大皿 残暑 の 工芸 館
夕立,酒 少し 欲し 夕立 が 本 降 に
更衣,衣更え 両手 淋しき 夜 と なり ぬ
雛祭,ひと 筋 の 光り に 揺れる 吊 雛
寒 鴉,寒 鴉 後 円 は 削ら れ て を り
紫陽花,紫陽花 の 鎌倉山 で 傘 が ない
霧,霧 は 漉し餡 村井 和一 呵々 と 笑 ふ
頬被,ガ 島 で 頬被り 死者 は まだまだ 飢 ゑてゐる
葡萄,天網 恢恢 葡萄 の 鬼 房 だけ 洩らす
臘梅,臘梅 の 日向 の 香り 身 に ともす
冬,泪 と 夢 封じ て あり し 冬 の 壺
東風,梅 東風 の 運び 来 たり し 仏 の 語
白 菖,その 中 の 古武士 め きたる 白 菖蒲
秋風,砂山 の 足跡 消し に いろ なき 風
終戦 記念 日,海 へ 飛ぶ 白紙 一 まい 終戦 日
勤労感謝の日,紙 つまる 勤労感謝の日 の ＦＡＸ
開戦 日,寄せ 書 の 旗 の はためく 開戦 日
寒椿,冬 椿 ほろり と 落ち し レイテ の 忌
年 の 暮,年 の 尾 の 雲 に 燃えたつ 高炉 の 火
寒 牡丹,たま し ひ の 糧 とも 白 の 寒 牡丹
冬,に ぎりめし 二 個 晩年 の 冬 の 園
障子 洗 ふ,白 障子 片寄せ て 張る 鯨幕
蝸牛,億 年 の 祖 を 負 ふ 歩み かたつむり
夏 の 果,首 つき 出し 急ぐ も 齢 夏 の 果
枯葉,亡夫 の 影 消え て しまい ぬ 枯葉 道
神 の 留守,神 の 留守 承知 で 願う 事 ひとつ
帰り 花,追伸 に 本音 ひと言 帰り 花
田作,ごまめ 噛む ち ち は 明治 の 漢 なり
春 近し,脚 長き 人力 車夫 や 春 近し
寒 の 入,寒 入り の 空き ビン に 挿す 造花 か な
寒 の 水,不可解 な 己 に 飲ます 寒 の 水
落葉,落葉 中 脱皮 重ね し 彫刻 展
秋 高し,天 髙 しから す も 訛る ふる里 に
菠薐草,膳 の 上 今宵 の 主役 は 菠薐草
馬鈴薯,じゃがいも ころころ ホラ 吹き 男爵 も いる
雪 解,追う も 渦 逃げる 大 渦 雪 解 川
風 光る,風 光る 観音堂 の 扉 開く
端午,眉 尻 を 少し 撥ね 上げ 端午 か な
梅雨,梅雨 湿り 三 面 鏡 に 歪み おり
酸葉,すかんぽ を 噛ん で 故郷 確かめる
初日,手 を かざし 初日 まだ か と 一 人 言
石榴,ざくろ 裂く 闇 の 魔物 の 首 を 出す
師走,師走 すぐ 靴 の 流れ の 急く まま に
栗,火中 の 栗 彈 け て とん で 仲直り
落葉,落葉 掃く 小さな 愁 ひみ な 丸め
牛蛙,一 村 を 沼 に 引き込む 牛蛙
月,月 に 棲む 兎 を 撮り に ゆく 世 か な
芒,芒 原 呪文 の よう な 風 と なる
枯野,枯野 から 枯野 へ つなぎ 渡し舟
冬木,繊月 を なほ 細く し て 冬 木立
春 の 雷,片側 の 褪せ し こけし や 春 の 雷
筍,筍 剥き つ 明日 は 何 を 着 て 行か う
春 寒し,ＩＴ の 今浦 島 や 春 寒し
枯蓮,枯蓮 己 の 影 の 怖 からむ
桜桃 忌,通し たき 我 の ひとつ 無し 桜桃 忌
野 焼く,点滴 は 遅々 たり 野火 の 煙 見 ゆ
蜘蛛,戸隠 に 霊気 は 強し 蜘蛛 の 糸
新酒,越後 より 嘘つき に くる 新 走
牡蠣,生 牡蠣 は 喉 を 素通り 与謝 郡
毛糸 編む,編棒 は むかし を 歩く 失 樂園
千両,実 千 両 に 比し て 地味 なる 実 万 両
水仙,行き止まり の 道 に 笑む ごと 冬 水仙
雪,粉雪 と 思わ ば 風 の 散らす 雪
冬,遠く より 緋鯉 寄り くる 冬 の 園
神無月,神無月 海 に ふくらむ 落とし も の
寒 牡丹,順番 に 覗か れ て いる 冬 牡丹
花,花 の 昼 もう ふり向か ぬ 象 の 鼻
青 胡桃,青 胡桃 今日 と 同じ 明日 が いい
夏 帽子,ただ 波 を 見 て いる だけ の 夏 帽子
枯葉,枯葉 積む 風 が くすくす 笑い つつ
白玉,白玉 の 昼 の 底 より 浮き あがる
天の川,天の川 今夜 も 舟 が 出 て い ます
蛍,安息 は 蛍袋 の 中 が いい
蝌蚪,蝌蚪 の 群 悠々自適 と は ゆか ず
春 の 野,目薬 を さして 春野 を あふれ さす
水無月,水無月 の 峡 の 水田 の 水 明り
蛇,蛇 打っ て 打っ て 棚田 の 水 あふれ
案山子,日本 の 鬼門 を にらむ 案山子 翁
蜻蛉,鬼 やんま 太平洋 の 水 叩く
芹,湾岸 は たなびく ところ 芹 な ず な
五月闇,風呂敷 で 挫折 を つつみ 五月闇
鮑,耳鳴り の 耳 かたむけ て 鮑 焼く
泳ぎ,古稀 の 日 を 古式 泳法 にて 泳ぐ
無花果,無花果 や みんな 無口 の 会議 室
蜆,だんまり の 底 に いのち の 蜆 か な
春 近し,懐 に 何時も 句 心 春 近し
紫陽花,色 決め ぬ 藍 の 鮮やか 七 変化
海 開き,海 開き 見渡す 海 や 試歩 の 海
秋,秋 の 池 木漏れ日 揺らぐ 緋鯉 の 背
枯芒,古郷 や 皆 代替わり 枯尾花
花,花 騒 の トンネル を 出 て 手 を つなぐ
桜,よく 笑う 妻 い て 楊貴妃 桜 咲く
残花,残花 残照 俳句 は 時空 の 座標軸
青葉,青 騒 の 森 の どこ か に かぐ や 姫
立夏,三 欲 が 若 さ の 秘訣 です 立夏
鴨 渡る,剥製 の 鴨 繚乱 と 渡る か な
春愁,春愁 の 化石 巨鳥 が おはよう と
蜘蛛,蜘蛛 の 囲 の 全 神経 に 湖 が あり
鳳仙花,台風 の 孵り 継ぐ 日 や 鳳仙花
月,月 落ち て メンソレータム 手 に 馴 じ む
白菜,白菜 の 尻 ミニ 豚 の 尻 に 似 て
女 正月,寢坊 し て あたり 見廻す 女 正月
秋風,ドア 開き 色 なき 風 の 中 に 居る
春 浅し,春 浅し 岩場 を 洗う 波 の 音
卯の花 腐し,卯の花 腐し ソプラノ で 歌う 演歌
冬,山脈 や わが 幻 の 冬 の 滝
冬 の 星,冬 北斗 武士 道 行方 不明 なり
冬 の 雲,冬 雲 や わが 方舟 の 漂え る
辛夷,合格 の メール が 届く 花 こぶし
花 筏,花 筏 そこ から 先 の 未来 都市
公魚,公魚 の 目 に なじら れ て ゐる 釣 師
薔薇,嫉妬 も し 形 に すれ ば 薔薇 の 棘
早乙女,早乙女 に 逢 へ ぬ 淋し さ 機械 の 世
秋 祭,町会 の 端役 賜 はる 秋 祭
義士 会,義士 の 日 に 探し回り し 頭痛 薬
夏野,少年 の 眉目 まっすぐ 夏野 か な
梅干,梅 漬け て より 物忘れ はじまり ぬ
隠元豆,法華寺 も 隠元豆 も 錆色 に
柚子,柚子 を もぐ 日本海 の 端 に い て
雪,雪 に 雪 降り しく 窓 や 口 渇く
椿,授から ぬ 娘 の 黒髪 に 紅 椿
薔薇,薔薇 の 門 サーフィン ボード 横抱き に
夏 の 蝶,昼 すぎ に 角 曲がり 来る 黒 揚羽
青 林檎,結婚 は ロシアンルーレット 青 林檎
風 薫る,風 薫る イエス の 娘 が 立ち尽くす
落花,ふるさと へ 遡 上 し て おり 花吹雪
名月,西行 の 望月 を 観る 花 の 下
花菖蒲,煽ら れ て 浮世 ば なれ の 花菖蒲
蛇,特急 が 過ぎ た と 思う 青大将
冬 の 日,湧 水 は 百 年 を 経 て 冬 陽 見る
粥 杖,縄文 の 土器 の レプリカ 粥 柱
春風,ため ら つて ゐる 木 は 春 の 風 が 押す
花,照り 出 で て 満都 を 覆 ふ 飛 花 の 宙
花,花 の トンネル 拔 けれ ば 音 の 詰まる 町
八月,疎開 はるか に 　 八月 の 誕生 日
帰る 雁,帰る 雁 　 潮 見せ 申せ 生国 ぞ
薔薇,害虫 過去 に 恨 、 今 薔薇 を 去る
七夕,轟々と 巡る 球形 　 星 の 恋
終戦 記念 日,洗わ るる 島 の 捨石 　 終戦 忌
鮪,大 鮪 　 裂か るる 刻 を 仰視 せり
葵,立ち 葵 男 の 不作法 ゆるさ れ よ
破れ 傘,草 という 冠 リ あり ぬ 破れ 傘
夕 焼,声 砕ける 大 夕 焼 の 海 の 崖
梅干,世に 鬼 と 仏 あり けり 梅干し て
渡り鳥,鳥 渡り 自 鳴 の 耳 の 深 鳴り す
双六,戻り なき 人生 は 濃く 絵 双六
